Title,Current_Price,Original_Price,Exchange_Price,Ratings,Review_count,url
Siemens 7 kg Fully Automatic Front Load White,"$25,990","$35,500","$2,200",4.6,9 Reviews,https://www.flipkart.com//siemens-7-kg-fully-automatic-front-load-white/p/itm804e20780fa7c?pid=WMNFFYFHBEXNQHGX&lid=LSTWMNFFYFHBEXNQHGX8Q6JRL&marketplace=FLIPKART&srno=s_16_374&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNFFYFHBEXNQHGX.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
"Lloyd 7 kg Semi Automatic Top Load White, Blue","$9,975","$11,490", , , ,https://www.flipkart.com//lloyd-7-kg-semi-automatic-top-load-white-blue/p/itm6b6809b8097a1?pid=WMNFRGHSKYCZCJTV&lid=LSTWMNFRGHSKYCZCJTVQVHST9&marketplace=FLIPKART&srno=s_16_375&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNFRGHSKYCZCJTV.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
Whirlpool 7.2 kg Semi Automatic Top Load Grey,"$11,099","$11,750", , , ,https://www.flipkart.com//whirlpool-7-2-kg-semi-automatic-top-load-grey/p/itme019345fa4718?pid=WMNFWBFRFYFNPVS4&lid=LSTWMNFWBFRFYFNPVS4IL4SVE&marketplace=FLIPKART&srno=s_16_376&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNFWBFRFYFNPVS4.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
MarQ by Flipkart 7.5 kg Fully Automatic Front Load with In-built Heater White,"$22,990","$33,999","$2,200",4.3,"1,913 Reviews",https://www.flipkart.com//marq-flipkart-7-5-kg-fully-automatic-front-load-in-built-heater-white/p/itmf574076d7fab7?pid=WMNF5PFFXTKHSF6U&lid=LSTWMNF5PFFXTKHSF6UGTHRFR&marketplace=FLIPKART&srno=s_16_377&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNF5PFFXTKHSF6U.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
Bosch 6.5 kg Fully Automatic Front Load with In-built Heater Silver,"$31,990","$33,999","$2,200",4.3,29 Reviews,https://www.flipkart.com//bosch-6-5-kg-fully-automatic-front-load-in-built-heater-silver/p/itm20c56f29098e5?pid=WMNEVMNHHFVXNT5V&lid=LSTWMNEVMNHHFVXNT5VGGYQBC&marketplace=FLIPKART&srno=s_16_378&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNEVMNHHFVXNT5V.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
Motorola 8 kg Dryer with In-built Heater White,"$24,990","$40,499","$2,200", , ,https://www.flipkart.com//motorola-8-kg-dryer-in-built-heater-white/p/itm830539bd810f4?pid=WMNFSGRXWKGNAQHM&lid=LSTWMNFSGRXWKGNAQHMRVZWUO&marketplace=FLIPKART&srno=s_16_379&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNFSGRXWKGNAQHM.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
"Whirlpool 8 kg 5 Star, Supersoak Technology Semi Automatic Top Load Red","$11,010","$13,500", ,4.3,87 Reviews,https://www.flipkart.com//whirlpool-8-kg-5-star-supersoak-technology-semi-automatic-top-load-red/p/itmae81f14b73303?pid=WMNEQG2JNCHN5WHZ&lid=LSTWMNEQG2JNCHN5WHZZGQPRW&marketplace=FLIPKART&srno=s_16_380&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNEQG2JNCHN5WHZ.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
Bosch 9 kg Inverter Fully Automatic Front Load White,"$63,999","$70,000", ,5,2 Reviews,https://www.flipkart.com//bosch-9-kg-inverter-fully-automatic-front-load-white/p/itmdce40f468bd76?pid=WMNFDZJGUCZBPFR7&lid=LSTWMNFDZJGUCZBPFR7T6TLQB&marketplace=FLIPKART&srno=s_16_381&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNFDZJGUCZBPFR7.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
"Lloyd 8.5 kg Semi Automatic Top Load White, Grey","$13,150","$16,990", ,4.7,0 Reviews,https://www.flipkart.com//lloyd-8-5-kg-semi-automatic-top-load-white-grey/p/itmd2cc875e2d391?pid=WMNFRGHSZTNBYM7G&lid=LSTWMNFRGHSZTNBYM7GGMKAZN&marketplace=FLIPKART&srno=s_16_382&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNFRGHSZTNBYM7G.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
Lloyd 7.5 kg Semi Automatic Top Load White,"$10,499","$12,190", ,4.5,0 Reviews,https://www.flipkart.com//lloyd-7-5-kg-semi-automatic-top-load-white/p/itm2bdb7a1211bde?pid=WMNEJ7YHHBJYDEUX&lid=LSTWMNEJ7YHHBJYDEUXZ97DMO&marketplace=FLIPKART&srno=s_16_383&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNEJ7YHHBJYDEUX.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
